Marque,Modèle,Prix (€),Année,Boîte,KM,Énergie,Code Postal,Département
Lexus,ES 300H BUSINESS PLUS,,09/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",160 kW (218 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Mercedes-Benz,GLA 200 d 4MATIC 8G DCT AMG Line,,12/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",110 kW (150 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Jaguar,MK II 340,,02/1968,Nombre de portes: 4/5,159 kW (216 Ch DIN),"Berline, Essence, Boîte manuelle",,
BMW,Isetta 250,,04/1962,Couleur extérieure: Bleu,9 kW (12 Ch DIN),"Citadine, Essence, Boîte manuelle",,
Mercedes-Benz,E 350 D 286CH AMG LINE 9G-TRONIC,,03/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",210 kW (286 Ch DIN),"Berline, Diesel, Boîte automatique",,
Audi,S3 1.8T quattro,,11/2001,"Couleur extérieure: Jaune, Nombre de portes: 2/3",154 kW (209 Ch DIN),"Berline, Essence, Boîte manuelle",,
Volkswagen,GOLF VIII 2.0 TSI 245ch GTI  BLUE MOTION,,02/2021,"Couleur extérieure: Blanc, Nombre de portes: 4/5",180 kW (245 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Fiat,Ducato Maxi Pritsche/Kipper 35 140 L4 Pritsche R,,05/2021,"Couleur extérieure: Blanc, Nombre de portes: 2/3",103 kW (140 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte manuelle",,
Maserati,Levante GranSport Q4,,02/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",257 kW (349 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence",,
MINI,"COOPER S FOR EVER 1,3 MPI",,06/2000,"Couleur extérieure: Noir, Nombre de portes: 2/3",46 kW (63 Ch DIN),"Citadine, Essence, Boîte manuelle",,
BMW,X5 xDrive 40 d PANO/AHK/HUD/KAMERA/H&K/MEMORY,,08/2014,"Couleur extérieure: Noir, Nombre de portes: 4/5",230 kW (313 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Renault,Master DCI 125 FOOD TRUCK,,02/2011,Couleur extérieure: Brun,92 kW (125 Ch DIN),"Autre, Diesel, Boîte manuelle",,
Mercedes-Benz,CL 55 AMG,,01/2002,"Couleur extérieure: Blanc, Nombre de portes: 2/3",265 kW (360 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Jaguar,XJ12 5.3 HE BVA,,11/1990,Nombre de portes: 4/5,192 kW (261 Ch DIN),"Berline, Essence, Boîte automatique",,
Mercedes-Benz,CL 600,,10/1996,"Couleur extérieure: Gris, Nombre de portes: 2/3",290 kW (394 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,SL 280,,06/1995,Nombre de portes: 2/3,142 kW (193 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,944,,05/1988,"Couleur extérieure: Gris, Nombre de portes: 2/3",184 kW (250 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Mercedes-Benz,SLK 230 KOMPRESSOR 23K by CARLSSON,,03/1998,"Couleur extérieure: Argenté, Nombre de portes: 2/3",142 kW (193 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Hummer,H2 6.2 V8 Luxury,,07/2006,"Couleur extérieure: Blanc, Nombre de portes: 4/5",293 kW (398 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Mercedes-Benz,"S 500 - Brabus B11, bulletproof Guard B4",,06/2002,"Couleur extérieure: Bleu, Nombre de portes: 4/5",225 kW (306 Ch DIN),"Berline, Essence, Boîte automatique",,
Renault,"R19 1.8 16V - only 18,300 kms, perfect condition",,03/1991,"Couleur extérieure: Gris, Nombre de portes: 4/5",99 kW (135 Ch DIN),"Berline, Essence, Boîte manuelle",,
MINI,Cooper 1.3 MPI 40th Anniversary - restored/95 hp,,09/1999,"Couleur extérieure: Rouge, Nombre de portes: 2/3",70 kW (95 Ch DIN),"Citadine, Essence, Boîte manuelle",,
Mercedes-Benz,GLA 250E 1.3 218 AMG FACELIFT*Multi Beam*360 Cam,,11/2023,"Couleur extérieure: Noir, Nombre de portes: 4/5",160 kW (218 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
ALPINA,B3 S Coupe SWITCH-TRONIC,,12/2002,"Couleur extérieure: Noir, Nombre de portes: 2/3",206 kW (280 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,GLC 300 e 4Matic UMFAL FREI,,07/2020,"Couleur extérieure: Bleu, Nombre de portes: 4/5",235 kW (320 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Jaguar,E-Pace E-PACE R-Dynamic SE AWD,,02/2022,"Couleur extérieure: Noir, Nombre de portes: 4/5",147 kW (200 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, BioEthanol",,
Audi,Q3 Sportback 45 TFSIe*Matrix*Heated Seats*360,,08/2022,"Couleur extérieure: Noir, Nombre de portes: 4/5",180 kW (245 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Land,Rover Range Rover Sport HSE Dynamic Hybrid,,12/2018,"Couleur extérieure: Gris, Nombre de portes: 4/5",221 kW (300 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Land,Rover Range Rover Evoque SE,,04/2022,"Couleur extérieure: Rouge, Nombre de portes: 4/5",147 kW (200 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, BioEthanol",,
BMW,540 i Touring G31 M sport *Carbon Schwarz*,,06/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",250 kW (340 Ch DIN),"Break, Essence, Boîte automatique",,
Land,Rover Range Rover Sport HSE Dynamic 3.0 SDV6 306ch,,01/2019,"Couleur extérieure: Gris, Nombre de portes: 4/5",183 kW (249 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Caterham,170 R S3 *Gulf Blue*,,02/2023,Couleur extérieure: Bleu,62 kW (84 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
BMW,M3 Baureihe M3 Cabrio Basis *First hand*,,05/2002,"Couleur extérieure: Argenté, Nombre de portes: 2/3",252 kW (343 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ford,Sierra rs cosworth,,11/1986,Nombre de portes: 2/3,150 kW (204 Ch DIN),"Autre, Essence",,
Mercedes-Benz,CL 55 AMG,,11/2002,Nombre de portes: 2/3,265 kW (360 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Volkswagen,GOLF GTI CLUB SPORT 2.0L 300 CV DSG / 1 MAIN,,12/2023,"Couleur extérieure: Noir, Nombre de portes: 4/5",221 kW (300 Ch DIN),"Berline, Essence, Boîte automatique",,
Mercedes-Benz,C 63 AMG C -Klasse Lim. C 63 AMG,,02/2018,"Couleur extérieure: Blanc, Nombre de portes: 4/5",350 kW (476 Ch DIN),"Berline, Essence, Boîte automatique",,
Mercedes-Benz,V 220 D LONG  STYLE INTEGRALE 9G-TRONIC,,04/2021,"Couleur extérieure: Bleu, Nombre de portes: 4/5",120 kW (163 Ch DIN),"Monospace / Ludospace, Diesel, Boîte automatique",,
Land,Rover Range Rover Sport HSE Dynamic Hybrid,,03/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",221 kW (300 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Renault,Megane Renault Sport R26 R - Roll Cage - AC,,02/2009,"Couleur extérieure: Noir, Nombre de portes: 2/3",169 kW (230 Ch DIN),"Berline, Essence, Boîte manuelle",,
Rolls-Royce,Corniche,,01/1981,"Couleur extérieure: Noir, Nombre de portes: 2/3",147 kW (200 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,E 3.4 AMG 24V,,05/1993,"Couleur extérieure: Argenté, Nombre de portes: 4/5",200 kW (272 Ch DIN),"Break, Essence, Boîte automatique",,
Jaguar,F-TYPE CABRIOLET R-DYNAMIC 2.0L 300 CV BVA8,,08/2018,"Couleur extérieure: Gris, Nombre de portes: 2/3",221 kW (300 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin Cygnet 1.3 CVT,,05/2011,Nombre de portes: 2/3,72 kW (98 Ch DIN),"Citadine, Essence, Boîte automatique",,
