Marque,Modèle,Prix (€),Année,Boîte,KM,Énergie,Code Postal,Département
Porsche,"Spyder 981 *First Hand,  first paintwork*",,01/2016,"Couleur extérieure: Blanc, Nombre de portes: 2/3",276 kW (375 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Audi,RS6 4.0 TFSI tiptronic quattro,,11/2019,"Couleur extérieure: Gris, Nombre de portes: 4/5",441 kW (600 Ch DIN),"Break, Essence, Boîte automatique",,
ALPINA,B3,,,"Couleur extérieure: Gris, Nombre de portes: 4/5",364 kW (495 Ch DIN),"Break, Essence, Boîte automatique",,
Porsche,718 Spyder,,01/2020,"Couleur extérieure: Noir, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,911 Turbo S Cabriolet,,01/2005,"Couleur extérieure: Argenté, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,S600 ARMOURED/PANZERT/ARMORED/BLINDADO,,02/2012,Nombre de portes: 4/5,380 kW (517 Ch DIN),"Berline, Essence, Boîte automatique",,
Lamborghini,Urraco 250 S,,01/1973,Couleur extérieure: Rouge,,"Coupé Sport, Essence",,
Bentley,Continental GTC,,11/2013,"Couleur extérieure: Beige, Nombre de portes: 2/3",373 kW (507 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,360 Modena Manual Gearbox,,03/2001,"Couleur extérieure: Rouge, Nombre de portes: 2/3",295 kW (401 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Aston,Martin Rapide 6.0 S Touchtronic Auto,,05/2014,"Couleur extérieure: Noir, Nombre de portes: 4/5",410 kW (557 Ch DIN),"Berline, Essence, Boîte automatique",,
Corvette,C7 Z06 *Laguna Blue*,,04/2016,"Couleur extérieure: Bleu, Nombre de portes: 2/3",485 kW (659 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
BMW,M4 Competition - ExperienceM - Carbon - Bucket,,04/2021,"Couleur extérieure: Bleu, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,997.1 Turbo BVM *First Paint*,,06/2007,"Couleur extérieure: Bleu, Nombre de portes: 2/3",353 kW (480 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,Cayenne Hybride Platinium Edition * VAT,,06/2022,"Couleur extérieure: Noir, Nombre de portes: 4/5",340 kW (462 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Mercedes-Benz,G 63 AMG 571*Distronic*HK*Sunroof*Ventil. Seats,,05/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",420 kW (571 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,Coupé *French origin*,,12/2005,"Couleur extérieure: Noir, Nombre de portes: 2/3",360 kW (489 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 2.4 S *Sportomatic*,,02/1973,"Couleur extérieure: Bleu, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Porsche,Panamera Sport Turismo 4S E-Hybrid*Inno.*Burmest,,08/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",324 kW (441 Ch DIN),"Break, Hybride (essence/électricité)",,
Land,Rover Defender 110 Hybrid X Dynamic X P400e,,01/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",221 kW (300 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,Taycan Turbo S *First hand*,,05/2020,"Couleur extérieure: Bleu, Nombre de portes: 4/5",560 kW (761 Ch DIN),"Berline, Electrique, Boîte automatique",,
Bentley,"Continental GT 4.0 V8 507ch ""Concours Series""",,11/2018,"Couleur extérieure: Bleu, Nombre de portes: 2/3",373 kW (507 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Jaguar,F-Pace P550 SVR AWD EDITION 1988 1 OF 394,,02/2023,"Couleur extérieure: Prune, Nombre de portes: 4/5",405 kW (551 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,993 Carrera S,,09/1997,Couleur extérieure: Rouge,209 kW (284 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,208 GTS TURBO,,01/1983,"Couleur extérieure: Rouge, Nombre de portes: 2/3",162 kW (220 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,Panamera,,08/2022,Couleur extérieure: Gris,340 kW (462 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Porsche,718 SPYDER 4.0L 420 CV / 1ST OWNER,,01/2020,"Couleur extérieure: Noir, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Land,Rover Defender 130 X-Dynamic SE,,30 km,"Couleur extérieure: Gris, Nombre de portes: 4/5",294 kW (400 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,Boxster Spyder,,01/2020,"Couleur extérieure: Blanc, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,911 Carrera S Cabriolet,,07/2012,"Couleur extérieure: Argenté, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,911/991.2,,05/2017,"Couleur extérieure: Blanc, Nombre de portes: 2/3",,"Coupé Sport, Essence",,
Porsche,911 991 4s cab 3.8 Manual Gearbox Full Porsche,,04/2014,"Couleur extérieure: Jaune, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,PORSCHE BOXSTER 981 SPYDER 3.8L 375 CV,,01/2017,"Couleur extérieure: Blanc, Nombre de portes: 2/3",276 kW (375 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Lotus,Emira V6 First Edition,,12/2023,"Couleur extérieure: Argenté, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,356 C 1.6 75 PS MATCHING FULL HISTORY,,05/1964,"Couleur extérieure: Rouge, Nombre de portes: 2/3",55 kW (75 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,4S E-Hybrid *Sport Turismo / Night Blue*,,10/2020,"Couleur extérieure: Bleu, Nombre de portes: 4/5",324 kW (441 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Land,Rover Defender 90 75th Limited Edition 3.0 D300,,25 km,"Couleur extérieure: Vert, Nombre de portes: 2/3",221 kW (300 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Porsche,997 Turbo*CUIR ADDITIONNEL*CHRONO SPORT,,07/2008,"Couleur extérieure: Noir, Nombre de portes: 2/3",353 kW (480 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin V8 Vantage S Roadster SP10,,01/2016,"Couleur extérieure: Noir, Nombre de portes: 2/3",316 kW (430 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,911 Carrera 4 S,,05/2014,"Couleur extérieure: Bleu, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Citadine, Essence, Boîte automatique",,
Lotus,Emira V6 First Edition IPS,,12/2023,"Couleur extérieure: Jaune, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Jaguar,E-Type First Serie 3.8L Coupe - Fully Serviced,,01/1964,"Couleur extérieure: Blanc, Nombre de portes: 2/3",195 kW (265 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Aston,Martin Vanquish S,,07/2005,"Couleur extérieure: Noir, Nombre de portes: 2/3",388 kW (528 Ch DIN),"Coupé Sport, Essence",,
Bentley,"Continental Supersports - low mileage, serviced",,06/2011,"Couleur extérieure: Noir, Nombre de portes: 2/3",463 kW (630 Ch DIN),"Coupé Sport, BioEthanol, Boîte automatique",,
Audi,RS6 Avant,,08/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",441 kW (600 Ch DIN),"Break, Essence, Boîte automatique",,
Land,Rover Range Rover P440e Dynamic HSE*Sunroof*360*Meridi,,03/2023,"Couleur extérieure: Gris, Nombre de portes: 4/5",324 kW (441 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Mercedes-Benz,G 63 AMG Edition 463 - perfect condition,,01/2018,"Couleur extérieure: Noir, Nombre de portes: 4/5",420 kW (571 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,Carrera  S Tiptronic *Vesuvio Edition*,,05/1997,"Couleur extérieure: Prune, Nombre de portes: 2/3",221 kW (300 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
BMW,M4 Competition M xDrive,,12/2022,Nombre de portes: 2/3,375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,360 - manual gearbox,,05/1999,"Couleur extérieure: Rouge, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Maserati,Granturismo MC Stradale - Centennial Edition,,07/2014,"Couleur extérieure: Blanc, Nombre de portes: 2/3",338 kW (460 Ch DIN),"Coupé Sport, Essence, Boîte semi-automatique",,
Alfa,Romeo 4C,,02/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",177 kW (241 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 2.7 Carrera Targa MFI,,11/1973,"Couleur extérieure: Blanc, Nombre de portes: 2/3",154 kW (209 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,356 SC 95 PS RESTORED,,12/1963,"Couleur extérieure: Bleu, Nombre de portes: 2/3",70 kW (95 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
BMW,i8 Baureihe i8 Roadster Basis,,04/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",170 kW (231 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Corvette,corvette c7 z06 targa 660 ch supercharged,,02/2016,"Couleur extérieure: Rouge, Nombre de portes: 2/3",485 kW (659 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Land,Rover Range Rover Sport Dynamic SE Hybrid,,01/2024,"Couleur extérieure: Blanc, Nombre de portes: 4/5",265 kW (360 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,991 Carrera 4S (2) * PDLS+ Bleu Graphite,,10/2016,"Couleur extérieure: Bleu, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,991.2 Targa 4S PDK,,07/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin V12 Vantage,,03/2016,"Couleur extérieure: Noir, Nombre de portes: 2/3",421 kW (572 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,991 Targa 4 - PDLS+ - Chrono - Exhaust - BOSE,,06/2015,"Couleur extérieure: Blanc, Nombre de portes: 2/3",257 kW (349 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
ALPINA,B3 Touring xDrive G21 *First French hand*,,03/2024,"Couleur extérieure: Vert, Nombre de portes: 4/5",364 kW (495 Ch DIN),"Break, Essence, Boîte automatique",,
Ferrari,F430 Spider *Carbon Buckets*,,06/2007,"Couleur extérieure: Gris, Nombre de portes: 2/3",360 kW (489 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Land,Rover Range Rover Sport 5.0 V8 SVR - SVO Paint Orange,,12/2019,"Couleur extérieure: Orange, Nombre de portes: 4/5",423 kW (575 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Mercedes-Benz,G 500 G -Modell Station G 500,,06/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",310 kW (421 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,575 Maranello F1,,04/2003,"Couleur extérieure: Rouge, Nombre de portes: 2/3",379 kW (515 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,"911 991.2 Carrera 4 S - ACC ,4 Lenkräder, BOSE",,09/2017,"Couleur extérieure: Blanc, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,SL 190 R121,,01/1959,Nombre de portes: 2/3,78 kW (106 Ch DIN),"Cabriolet / Roadster, Essence",,
Porsche,993 3.6 CARRERA 4 CABRIOLET,,04/1996,"Couleur extérieure: Bleu, Nombre de portes: 2/3",210 kW (286 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,993 Carrera 4S Coupé,,03/1996,"Couleur extérieure: Bleu, Nombre de portes: 2/3",210 kW (286 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Bentley,Continental GTC Diamond Edition 1 of 25,,04/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",388 kW (528 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,911 E 2.2 *SONAUTO** RESTORED* * MATCHING*,,03/1971,Couleur extérieure: Argenté,,"Coupé Sport, Essence",,
ALPINA,B3 GT,,,Nombre de portes: 4/5,389 kW (529 Ch DIN),"Break, Essence, Boîte automatique",,
Porsche,991.1 Targa 4S *Porsche Maintenance*,,09/2014,"Couleur extérieure: Blanc, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,911 Turbo Cabrio,,04/2012,"Couleur extérieure: Noir, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Bentley,Continental GTC V8 S,,02/2016,"Couleur extérieure: Gris, Nombre de portes: 2/3",388 kW (528 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Lamborghini,Gallardo 5.0 SE,,01/2006,"Couleur extérieure: Blanc, Nombre de portes: 2/3",382 kW (519 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,Panamera Sport Turismo 4 S E-Hybrid *First Hand*,,03/2022,"Couleur extérieure: Bleu, Nombre de portes: 4/5",324 kW (441 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Alpine,A110 R *New condition*,,06/2024,"Couleur extérieure: Blanc, Nombre de portes: 2/3",221 kW (300 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,Cayman GT4 - Clubsport - Carbon - Camera - PDLS+,,02/2019,"Couleur extérieure: Blanc, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,Taycan Turbo,,07/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",500 kW (680 Ch DIN),"Coupé Sport, Electrique, Boîte automatique",,
Maserati,Grecale Trofeo*ACC*Sonus Faber*360*Ventil. Seats,,01/2023,"Couleur extérieure: Gris, Nombre de portes: 4/5",390 kW (530 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Aston,Martin V12 Vantage *Manual Gearbox*,,09/2009,"Couleur extérieure: Gris, Nombre de portes: 2/3",380 kW (517 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Audi,R8 Coupe 5.2 FSI quattro,,01/2016,"Couleur extérieure: Vert, Nombre de portes: 2/3",397 kW (540 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
BMW,M8 Competition Gran Coupé*Laser*B&W*Ventilated,,06/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",460 kW (625 Ch DIN),"Berline, Essence, Boîte automatique",,
Porsche,Cayenne Coupe Turbo S E-Hybrid*360*ACC*HUD*PDLS+,,06/2020,"Couleur extérieure: Gris, Nombre de portes: 4/5",404 kW (549 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Audi,RSQ8 *B&O*FULL CARBON,,12/2019,"Couleur extérieure: Blanc, Nombre de portes: 4/5",441 kW (600 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Bentley,Azure Mulliner  Widebody 1 of 28,,02/2002,"Couleur extérieure: Gris, Nombre de portes: 2/3",313 kW (426 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,CE 300 3.2L AMG,,05/1988,"Couleur extérieure: Blanc, Nombre de portes: 2/3",172 kW (234 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,Cayman TYPE 982 718 GT4 4.0i 420 ch .,,02/2020,"Couleur extérieure: Noir, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Audi,TT RS,,50 km,,294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,718 Spyder 4.0 420,,05/2020,"Couleur extérieure: Blanc, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Alpine,A110,,10/2023,"Couleur extérieure: Bleu, Nombre de portes: 2/3",221 kW (300 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin Vantage II COUPE V8 510 CH BVA8 .,,05/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,AMG GT C Roadster - Burmester - AMG Night Pack,,09/2017,"Couleur extérieure: Blanc, Nombre de portes: 2/3",410 kW (557 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,996 GT3,,05/2003,"Couleur extérieure: Gris, Nombre de portes: 2/3",280 kW (381 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,991.2 CARRERA GTS 3.0L 450 CV PDK / PACK GTS,,04/2018,"Couleur extérieure: Blanc, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin DBS 5.9,,12/2008,"Couleur extérieure: Noir, Nombre de portes: 2/3",380 kW (517 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,F430 Spider F1,,09/2005,"Couleur extérieure: Noir, Nombre de portes: 2/3",360 kW (489 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,991.2 Carrera 4 GTS,,04/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,991.2 Carrera 4 GTS Cabriolet,,06/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",,"Cabriolet / Roadster, GNV, Boîte automatique",,
Dodge,DODGE VIPER SRT10 MAMBA EDITION (82/200),,01/2004,"Couleur extérieure: Blanc, Nombre de portes: 2/3",371 kW (504 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Audi,R8 Spyder 5.2 FSI quattro,,03/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",397 kW (540 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin V8 Vantage*360 Camera*Heated Seats*Premium sound,,08/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Gallardo 5.0,,03/2004,"Couleur extérieure: Orange, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Alpine,A110 1600 SC *1800 Gr.IV*,,04/1973,"Couleur extérieure: Bleu, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,California 3.9 V8 T 4-Sitzer,,02/2017,"Couleur extérieure: Blanc, Nombre de portes: 2/3",412 kW (560 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,360 Modena Spider,,02/2002,"Couleur extérieure: Rouge, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Aston,Martin V12 Vantage*Manual*Collector*Exterior Carbon,,04/2010,"Couleur extérieure: Blanc, Nombre de portes: 2/3",380 kW (517 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Aston,Martin V12 Vantage 6.0 S - Tungsten Silver - Camera,,12/2013,"Couleur extérieure: Gris, Nombre de portes: 2/3",421 kW (572 Ch DIN),"Coupé Sport, Essence, Boîte semi-automatique",,
Ferrari,F355 (2.7) GTS V8 3.5,,04/1995,"Couleur extérieure: Rouge, Nombre de portes: 2/3",280 kW (381 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Audi,RS6 (C8) V8 4.0 600  *BLU NAVARRA MAT*,,02/2022,"Couleur extérieure: Bleu, Nombre de portes: 4/5",441 kW (600 Ch DIN),"Break, Essence, Boîte automatique",,
Porsche,Panamera 4S E-Hybrid*BOSE*Pano*Ventilated*PDLS+,,08/2022,"Couleur extérieure: Noir, Nombre de portes: 4/5",412 kW (560 Ch DIN),"Break, Hybride (essence/électricité)",,
Porsche,991 Carrera 4 GTS,,07/2015,"Couleur extérieure: Argenté, Nombre de portes: 2/3",316 kW (430 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,992 CARRERA S 3.0L 450 CV PDK / 1ÈRE MAIN PSE,,08/2019,"Couleur extérieure: Rouge, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Porsche,991.2 CARRERA GTS CABRIOLET 3.0L 450 CV PDK,,06/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,991 GT3,,07/2014,"Couleur extérieure: Gris, Nombre de portes: 2/3",350 kW (476 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,"991 Turbo Coupé II - first hand, perfect state",,10/2016,"Couleur extérieure: Noir, Nombre de portes: 2/3",397 kW (540 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin DB11 5.2 V12 LAUNCH EDITION,,05/2017,"Couleur extérieure: Blanc, Nombre de portes: 2/3",447 kW (608 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,Cayenne turbo S Sport Pack Lightweight Design,,10/2019,"Couleur extérieure: Beige, Nombre de portes: 4/5",500 kW (680 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,991 Carrera S *50 Jahre 911*,,03/2014,"Couleur extérieure: Gris, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,993 Carrera 4S - AC - Radio -Sunroof -Elec Seats,,06/1997,"Couleur extérieure: Argenté, Nombre de portes: 2/3",210 kW (286 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Land,Rover Range Rover HSE Hybrid,,05/2024,"Couleur extérieure: Bleu, Nombre de portes: 4/5",265 kW (360 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,Boxster TYPE 982 718 SPYDER 4.0I 420 CH PDK .,,04/2021,Nombre de portes: 2/3,309 kW (420 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Aston,"Martin V12 Vantage 6.0 S - full carbon, just serviced",,04/2015,"Couleur extérieure: Gris, Nombre de portes: 2/3",421 kW (572 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Land,Rover Range Rover Sport 5.0 P575 V8 Kompressor SVR,,12/2022,"Couleur extérieure: Noir, Nombre de portes: 4/5",423 kW (575 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Aston,Martin V8 Vantage Coupe 4.0*Camera*Ventilated Seats,,03/2019,"Couleur extérieure: Argenté, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 991.1 Turbo S,,09/2014,"Couleur extérieure: Noir, Nombre de portes: 2/3",412 kW (560 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,CLK 63 AMG  Black Series,,03/2008,"Couleur extérieure: Blanc, Nombre de portes: 2/3",373 kW (507 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
BMW,M2 Coupe,,12/2023,"Couleur extérieure: Blanc, Nombre de portes: 2/3",338 kW (460 Ch DIN),"Coupé Sport, Essence",,
Mercedes-Benz,190 SL 1960 Matching number HARD TOP,,01/1960,"Couleur extérieure: Noir, Nombre de portes: 2/3",120 kW (163 Ch DIN),"Cabriolet / Roadster, Essence",,
Porsche,911 992 Carrera 4S,,02/2019,"Couleur extérieure: Blanc, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Ferrari,California T V8 4.0 560CH,,08/2015,"Couleur extérieure: Noir, Nombre de portes: 2/3",412 kW (560 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,992.1 Carrera 2S *Pack Sport Design*,,12/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Chevrolet,CORVETTE C8 STINGRAY TARGA*BOSE Audio*Ventilated,,12/2022,"Couleur extérieure: Noir, Nombre de portes: 2/3",355 kW (483 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Maserati,GranCabrio 4.7 V8 MC - Carbon - Aero Pack,,10/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",338 kW (460 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Land,Rover P550E Autobiography *PPF Complet*,,01/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",294 kW (400 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,992.1 Carrera 4S *Low mileage*,,09/2019,"Couleur extérieure: Bleu, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Coupé Sport, Essence",,
Porsche,Cayenne Coupe S E-Hybrid*InnoDrive*Matrix*Disp.,,04/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",260 kW (354 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Toyota,Yaris GR S.Ogier Edition*1 of 200*New,,01/2025,"Couleur extérieure: Gris, Nombre de portes: 2/3",207 kW (281 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,Cayenne Turbo S E-Hybrid *Full option*,,07/2021,"Couleur extérieure: Gris, Nombre de portes: 4/5",500 kW (680 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,718 Cayman GT4 PDK - Clubsport - PDLS+ - Chrono,,05/2021,"Couleur extérieure: Noir, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lotus,Exige CUP 430 - AC - Radio - Screens,,02/2019,"Couleur extérieure: Vert, Nombre de portes: 2/3",320 kW (435 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,575M MARANELLO V12,,10/2004,Couleur extérieure: Rouge,420 kW (571 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 Carrera 4S,,05/2019,"Couleur extérieure: Vert, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
