Marque,Modèle,Année,Boîte,KM,Énergie,Code Postal,Département,Prix
Opel,corsa,03-2009,Boîte manuelle,226801,d,30600,30,3490
Mitsubishi,pajero,05-2010,Boîte automatique,322500,d,93370,93,12990
Mazda,cx-5,08-2016,Boîte manuelle,158268,d,63800,63,10990
Peugeot,208,03-2016,Boîte manuelle,128129,d,59930,59,6990
Mitsubishi,pajero,05-2010,Boîte automatique,322500,d,93370,93,12990
Mazda,cx-5,08-2016,Boîte manuelle,158268,d,63800,63,10990
Peugeot,208,03-2016,Boîte manuelle,128129,d,59930,59,6990
Alfa romeo,brera,04-2009,- Boîte,171766,d,39110,39,11900
Mercedes-benz,a 250,12-2014,Boîte automatique,115100,b,17200,17,16990
Nissan,qashqai,05-2017,Boîte automatique,89476,d,92130,92,14990
Citroen,c3,02-2019,Boîte manuelle,106000,b,93370,93,6490
Mazda,2,10-2019,Boîte manuelle,35000,b,25000,25,11490
Renault,megane,05-2019,Boîte manuelle,96000,d,63170,63,11990
Peugeot,e-2008,12-2020,Boîte manuelle,50134,b,08200,08,12999
Audi,a1,01-2020,Boîte manuelle,80108,b,57160,57,14990
Bmw,m8,03-2020,Boîte automatique,31890,b,75016,75,109900
Fiat,500,02-2017,Boîte automatique,13000,b,04100,04,10990
Ford,c-max,08-2013,Boîte manuelle,252000,d,13500,13,3790
Renault,latitude,01-2011,Boîte automatique,101254,d,47160,47,11900
Peugeot,208,12-2019,Boîte manuelle,49561,b,80090,80,8490
Dacia,spring,12-2023,Boîte automatique,7120,e,75002,75,11590
Renault,laguna,04-2013,Boîte manuelle,152502,d,88200,88,8490
Dacia,sandero,12-2023,Boîte manuelle,3576,b,92130,92,12290
Opel,mokka,09-2014,Boîte manuelle,70644,b,95520,95,9290
Ferrari,458,06-2014,Boîte automatique,20612,b,69760,69,399000
Peugeot,206,03-2010,Boîte manuelle,49995,d,67114,67,4990
Peugeot,e-2008,12-2020,Boîte manuelle,42509,b,83490,83,12900
Volkswagen,golf,01-2014,Boîte manuelle,134400,b,06600,06,9990
Citroen,c1,03-2017,Boîte manuelle,123000,b,67100,67,5990
Kia,rio,03-2012,Boîte manuelle,138000,d,45160,45,5490
Porsche,cayenne,01-2024,Boîte automatique,27000,b,67800,67,77500
Peugeot,3008,06-2012,Boîte automatique,217030,2,95880,95,5990
Peugeot,208,06-2021,Boîte manuelle,57400,b,06370,06,11990
Peugeot,2008,11-2020,Boîte manuelle,56350,b,13127,13,13890
Mercedes-benz,cla 45 amg,05-2014,Boîte automatique,104500,b,42800,42,28990
Mini,one,04-2008,Boîte manuelle,49000,b,35410,35,6990
Lexus,gs 450h,05-2012,Boîte automatique,141000,o,06200,06,24990
Opel,corsa,01-2011,Boîte manuelle,83700,b,67140,67,4990
Peugeot,2008,02-2015,Boîte manuelle,127800,b,82130,82,6400
Volkswagen,polo,05-2021,Boîte manuelle,62275,b,13710,13,16490
Volkswagen,unknown,07-2009,Boîte manuelle,264100,d,67580,67,4990
Citroen,grand c4 spacetourer,06-2020,Boîte automatique,284030,d,88200,88,8990
Toyota,aygo,08-2008,- Boîte,168000,unknown,78440,78,3190
Bmw,118,10-2013,Boîte automatique,194914,d,69400,69,8990
Renault,twizy,02-2013,Boîte automatique,25350,e,06000,06,3990
Nissan,qashqai,11-2016,Boîte manuelle,149000,b,60740,60,10990
Opel,corsa,06-2011,Boîte manuelle,124000,b,63170,63,4490
Hyundai,i20,12-2021,Boîte automatique,163260,2,19700,19,9480
Volkswagen,tiguan,04-2017,Boîte automatique,203461,d,67201,67,16900
Renault,kadjar,12-2019,Boîte automatique,59900,d,91150,91,16490
Dacia,sandero,06-2021,Boîte manuelle,18200,l,77220,77,13790
Seat,ibiza,08-2010,Boîte manuelle,148000,d,31150,31,6990
Dacia,duster,11-2019,Boîte manuelle,66000,b,42100,42,11990
Peugeot,508,08-2019,Boîte automatique,103617,d,25300,25,20990
Peugeot,5008,01-2019,Boîte automatique,63267,b,92130,92,18090
Volkswagen,golf,01-2014,Boîte manuelle,130000,d,69530,69,11490
